Date,HeatRisk,ED Visits,EMS Calls,Random Numbers
1/1/2012,1,1074,,964
1/2/2012,1,624,,919
1/3/2012,1,772,,1071
1/4/2012,1,838,,1026
1/5/2012,1,865,,1000
1/6/2012,1,855,,890
1/7/2012,0,1010,,1030
1/8/2012,0,1166,,988
1/9/2012,1,813,,959
1/10/2012,0,803,,998
1/11/2012,0,858,,1039
1/12/2012,1,884,,1026
1/13/2012,1,978,,1008
1/14/2012,0,917,5579,845
1/15/2012,0,931,5040,958
1/16/2012,0,832,3867,973
1/17/2012,0,651,4803,1015
1/18/2012,0,619,4945,971
1/19/2012,0,849,5393,923
1/20/2012,0,799,5271,1034
1/21/2012,0,888,5661,986
1/22/2012,0,979,5621,971
1/23/2012,0,766,4334,989
1/24/2012,0,841,3870,1040
1/25/2012,1,957,4562,1013
1/26/2012,1,617,4521,1085
1/27/2012,1,930,5030,1022
1/28/2012,1,952,5121,994
1/29/2012,1,999,5071,1083
1/30/2012,0,812,4977,997
1/31/2012,0,839,4850,1040
2/1/2012,0,848,4548,955
2/2/2012,0,834,4942,1038
2/3/2012,0,869,4590,995
2/4/2012,0,861,6348,1020
2/5/2012,1,1016,6631,990
2/6/2012,0,612,4474,1055
2/7/2012,0,617,5194,931
2/8/2012,1,816,4680,974
2/9/2012,1,904,5195,1082
2/10/2012,0,617,4895,1055
2/11/2012,0,938,5203,1016
2/12/2012,0,1101,4911,1026
2/13/2012,0,693,5873,1026
2/14/2012,0,650,5097,906
2/15/2012,0,674,5340,891
2/16/2012,0,832,5426,938
2/17/2012,0,693,4520,955
2/18/2012,0,1042,6567,1132
2/19/2012,0,1000,6225,975
2/20/2012,0,766,4659,1052
2/21/2012,1,762,5183,942
2/22/2012,1,805,5514,1031
2/23/2012,1,765,5043,974
2/24/2012,0,885,5362,1071
2/25/2012,0,967,6972,961
2/26/2012,0,970,4806,1076
2/27/2012,0,757,4514,1010
2/28/2012,0,827,5004,960
2/29/2012,0,616,5532,997
3/1/2012,0,832,4344,986
3/2/2012,0,684,4698,948
3/3/2012,1,950,6279,1053
3/4/2012,2,909,6726,1010
3/5/2012,1,633,4548,902
3/6/2012,0,582,4377,941
3/7/2012,0,680,4733,1046
3/8/2012,0,703,5922,1033
3/9/2012,1,884,4046,954
3/10/2012,1,844,5966,1096
3/11/2012,0,964,6213,1008
3/12/2012,0,651,5025,1006
3/13/2012,0,509,4533,945
3/14/2012,0,817,5298,1072
3/15/2012,0,634,5223,991
3/16/2012,0,444,4990,961
3/17/2012,0,932,6148,916
3/18/2012,0,890,5980,973
3/19/2012,0,605,4799,937
3/20/2012,0,647,5084,984
3/21/2012,1,606,5482,965
3/22/2012,0,679,4486,892
3/23/2012,0,658,5124,950
3/24/2012,0,863,6789,949
3/25/2012,0,800,6135,999
3/26/2012,0,500,5458,927
3/27/2012,0,644,4975,1027
3/28/2012,0,698,5319,1022
